,Municipality,Per Capita Income,Med. Household Income,Med. Family Income,Num. of Households
0,New Canaan,"$105,846","$174,611","$211,875",6857
1,Darien,"$105,846","$208,848","$343,456",6555
2,Greenwich,"$90,087","$128,153","$167,825",22083
3,Weston,"$92,794","$219,868","$285,612",3379
4,Westport,"$97,395","$181,360","$237,353",9740
5,Glastonbury,"$91,709","$158,018","$171,018",13121
6,Ridgefield,"$75,634","$151,399","$182,820",8902
7,Wilton,"$78,131","$180,313","$205,902",5953
8,Brookfield,"$58,715","$119,370","$136,682",6872
9,Avon,"$66,862","$125,536","$159,405",7318
10,Redding,"$61,043","$137,916","$152,344",3528
11,Roxbury,"$68,446","$96,875","$112,045",922
12,Easton,"$58,532","$131,189","$149,884",2682
13,Bridgewater,"$66,035","$98,424","$113,088",753
14,Essex,"$53,427","$86,376","$121,447",2992
15,Lyme,"$66,822","$123,894","$162,438",7024
16,Fairfield,"$60,155","$122,306","$152,760",20233
17,Tolland,"$45,901","$110,593","$122,299",5238
18,Old Lyme,"$46,429","$87,025","$112,588",3145
19,Madison,"$52,413","$107,183","$136,981",6779
20,Washington,"$70,264","$81,354","$89,441",1466
21,Kent,"$34,015","$60,714","$94,271",1104
22,Cornwall,"$49,753","$75,833","$91,458",568
23,Farmington,"$52,341","$91,712","$120,026",10343
24,Woodbridge,"$58,594","$133,412","$160,313",3084
25,Warren,"$49,142","$87,857","$94,583",601
26,Sherman,"$63,914","$108,398","$115,149",1427
27,Salisbury,"$53,332","$82,794","$112,778",1518
28,Bethany,"$47,241","$113,720","$121,701",1971
29,Granby,"$46,687","$97,500","$111,339",4194
30,Canton,"$46,401","$87,643","$101,793",4150
31,Killingworth,"$45,404","$99,500","$108,232",2474
32,Newtown,"$45,308","$108,148","$120,507",9459
33,Orange,"$44,983","$102,255","$115,685",5123
34,Middlebury,"$44,850","$100,866","$109,750",2748
35,Stamford,"$44,667","$75,579","$88,050",47357
36,Woodbury,"$44,060","$80,595","$100,500",4214
37,Trumbull,"$44,006","$102,059","$117,855",12725
38,Norfolk,"$43,866","$85,526","$98,098",720
39,Monroe,"$43,842","$109,727","$119,357",6735
40,West Hartford,"$53,534","$98,530","$136,547",25258
41,Old Saybrook,"$43,400","$79,985","$99,595",4247
42,Burlington,"$43,392","$115,341","$120,580",3291
43,Sharon,"$43,317","$70,104","$74,313",1250
44,Norwalk,"$43,303","$76,161","$93,009",33217
45,Bolton,"$42,312","$89,432","$93,472",1915
46,Stonington,"$42,184","$72,445","$86,029",8115
47,Cromwell,"$41,926","$82,012","$99,362",5752
48,Oxford,"$41,909","$107,500","$113,077",4504
49,Simsbury,"$41,883","$99,764","$108,564",8776
50,New Hartford,"$41,709","$80,718","$90,172",2632
51,Marlborough,"$41,669","$108,232","$110,527",2292
52,Litchfield,"$41,649","$78,750","$100,833",3459
53,Branford,"$41,540","$70,640","$86,696",12739
54,Salem,"$41,414","$95,000","$106,875",1525
55,Suffield,"$41,098","$90,023","$99,855",5155
56,Chester,"$40,783","$80,185","$89,760",1714
57,East Granby,"$40,698","$77,596","$97,174",2062
58,Cheshire,"$40,498","$107,936","$123,539",10041
59,Prospect,"$40,126","$86,526","$99,028",3357
60,Southbury,"$40,022","$68,041","$104,838",8213
61,Bloomfield,"$39,738","$68,372","$84,583",8554
62,Bethlehem,"$39,704","$82,899","$86,792",1411
63,North Stonington,"$39,588","$88,869","$96,125",2052
64,Shelton,"$39,579","$105,417","$110,583",2610
65,Goshen,"$39,562","$76,705","$86,114",1192
66,New Fairfield,"$39,486","$101,067","$108,720",4802
67,Hebron,"$39,416","$108,444","$112,894",3398
68,Colebrook,"$39,324","$72,000","$85,833",589
69,Portland,"$39,100","$86,661","$96,016",3822
70,South Windsor,"$38,945","$88,350","$94,602",9918
71,New Milford,"$38,893","$84,824","$100,574",10618
72,Andover,"$38,710","$84,274","$96,286",1244
73,Milford,"$38,489","$76,973","$92,684",21708
74,Durham,"$38,341","$80,656","$97,211",7152
75,Bozrah,"$38,339","$75,000","$99,625",1007
76,North Haven,"$38,286","$83,588","$94,916",9135
77,Westbrook,"$38,158","$61,069","$72,969",2948
78,Berlin,"$38,134","$86,211","$98,677",7808
79,Harwinton,"$37,902","$85,253","$92,083",2170
80,Waterford,"$37,690","$69,810","$91,893",8005
81,Ledyard,"$37,663","$85,321","$97,152",5634
82,Wethersfield,"$37,329","$71,284","$91,563",11204
83,Haddam,"$37,324","$86,179","$100,343",3218
84,Ellington,"$37,322","$81,582","$95,547",6257
85,Canaan,"$37,283","$54,219","$77,500",583
86,East Haddam,"$37,156","$82,695","$86,023",3593
87,Clinton,"$37,117","$74,174","$82,839",5303
88,East Lyme,"$37,019","$79,815","$102,864",7192
89,Hartland,"$36,874","$85,956","$91,188",789
90,Columbia,"$36,784","$76,786","$93,295",690
91,Middlefield,"$36,747","$80,392","$94,432",1742
92,Morris,"$36,682","$81,583","$97,381",958
93,Bethel,"$36,608","$83,483","$99,568",6938
94,Woodstock,"$36,342","$74,000","$88,737",3151
95,North Branford,"$36,297","$80,618","$92,083",5441
96,Southington,"$36,053","$77,673","$102,186",16814
97,Rocky Hill,"$36,021","$72,417","$88,750",8307
98,Windsor,"$35,780","$78,695","$90,856",11233
99,Deep River,"$35,564","$65,250","$81,641",1940
100,Colchester,"$35,479","$92,431","$101,860",5915
101,Somers,"$35,134","$98,977","$108,636",3328
102,Barkhamsted,"$34,775","$87,656","$107,804",1452
103,Hampton,"$34,642","$79,943","$84,079",747
104,Lebanon,"$34,608","$72,431","$80,566",2644
105,Hamden,"$34,596","$66,695","$88,613",23727
106,East Hampton,"$34,555","$88,281","$95,854",5060
107,Coventry,"$34,524","$86,244","$91,931",4783
108,Watertown,"$34,158","$77,771","$93,194",8672
109,Pomfret,"$33,910","$68,278","$82,917",1582
110,Wallingford,"$33,839","$71,317","$87,641",18032
111,Lisbon,"$33,685","$77,872","$86,469",1659
112,Wolcott,"$33,572","$78,882","$90,061",6007
113,Vernon,"$33,160","$61,103","$77,649",12976
114,Preston,"$32,956","$77,377","$86,435",1869
115,Ashford,"$32,842","$69,407","$79,157",1716
116,Voluntown,"$32,760","$73,980","$76,197",1002
117,Manchester,"$32,752","$61,571","$77,018",24689
118,Beacon Falls,"$32,710","$81,214","$93,056",2360
119,Stratford,"$32,590","$67,530","$83,369",20095
120,Newington,"$32,561","$69,085","$80,597",12550
121,Seymour,"$32,346","$71,719","$92,981",6654
122,Chaplin,"$32,188","$62,679","$72,426",920
123,Union,"$32,032","$79,911","$84,750",334
124,Thomaston,"$31,652","$63,990","$77,842",3108
125,Franklin,"$31,518","$74,226","$87,237",729
126,Danbury,"$31,461","$65,275","$74,420",28907
127,Middletown,"$31,348","$57,655","$78,006",19863
128,Sprague,"$31,226","$68,241","$78,438",1135
129,East Windsor,"$31,162","$64,301","$76,502",4750
130,Groton,"$31,110","$56,904","$67,465",15809
131,Plainville,"$31,000","$63,447","$80,205",7580
132,Canterbury,"$30,453","$70,902","$84,093",1934
133,Windsor Locks,"$30,436","$59,369","$70,439",5223
134,Plymouth,"$30,081","$71,630","$82,438",4803
135,Bristol,"$29,629","$58,537","$72,038",25320
136,Willington,"$29,616","$62,500","$96,422",2423
137,Griswold,"$29,421","$59,295","$75,870",4646
138,Scotland,"$29,371","$75,417","$79,722",637
139,Enfield,"$29,340","$67,402","$77,554",16794
140,Groton,"$28,872","$49,464","$52,366",4182
141,East Haven,"$28,638","$59,918","$69,837",11756
142,Montville,"$28,492","$65,349","$80,156",6942
143,Stafford,"$28,027","$64,494","$69,789",4767
144,Meriden,"$27,625","$53,873","$65,450",23977
145,Winchester,"$27,264","$57,958","$68,622",4815
146,Thompson,"$27,222","$60,951","$74,613",3730
147,Norwich,"$26,702","$52,186","$62,616",16599
148,North Canaan,"$26,700","$46,417","$52,604",1400
149,Putnam,"$26,506","$51,180","$61,168",3950
150,Derby,"$26,264","$52,029","$58,984",5388
151,Ansonia,"$26,225","$56,541","$71,329",7510
152,Torrington,"$25,948","$48,409","$64,476",15243
153,West Haven,"$25,884","$51,854","$62,330",21112
154,Sterling,"$25,557","$64,500","$74,405",1383
155,Winsted,"$25,291","$61,404","$68,406",3346
156,Killingly,"$25,215","$53,192","$65,496",6749
157,Brooklyn,"$25,124","$68,851","$76,224",2989
158,Plainfield,"$24,825","$61,500","$69,096",5726
159,East Hartford,"$24,373","$48,613","$57,848",20195
160,New Haven,"$21,789","$38,963","$47,432",48877
161,Mansfield,"$21,579","$65,839","$84,128",5586
162,Waterbury,"$21,545","$40,254","$47,077",42761
163,New London,"$21,110","$43,551","$49,811",10373
164,New Britain,"$21,056","$39,706","$45,990",28158
165,Windham,"$20,272","$40,063","$48,145",8906
166,Bridgeport,"$19,854","$41,047","$47,894",51255
167,Hartford,"$16,798","$28,970","$32,820",45124
